Blade	Speed	Control	Stiffness 	Hardness 	Consistency 	Overall	Ratings	Price
Butterfly Cypress JP II-S	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	189
Butterfly Cypress JP III-S	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	135
Butterfly Cypress Max	9.5	8.8	6.7	2.4	6.3	8.9	4	135
Butterfly Cypress T-Max S	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	149
Butterfly Cypress V-Max	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	236
Butterfly Cypress-R	8.0	9.0	7.0	3.7	10.0	9.0	1	110
Butterfly Cypress-S	9.3	8.5	4.6	2.3	10.0	9.3	7	95
Butterfly Defence 2 (II)	7.5	9.2	6.1	4.3	10.0	9.3	15	50
Butterfly Defence 4 (IV)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	77
Butterfly Defence Alpha	4.3	9.2	1.6	1.1	7.5	8.3	11	55
Butterfly Defence Pro	7.5	7.8	5.0	4.2	10.0	8.3	4	100
Butterfly Defence X	6.2	8.3	1.8	4.1	8.8	8.2	4	73
Butterfly Defense 3 (III)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	70
Butterfly Dillfer	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	100
Butterfly Diode	6.0	9.0	3.5	4.1	10.0	7.5	2	100
Butterfly Diode V	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	106
Butterfly Ester	8.8	9.0	6.0	6.0	10.0	9.5	2	42
Butterfly Extra Wing	6.3	9.0	0.0	2.2	10.0	8.5	3	78
Butterfly Feth	6.6	8.4	4.3	4.2	10.0	8.0	4	40
Butterfly Finewood OFF	8.0	10.0	10.0	10.0	10.0	(not rated)	1	79
Butterfly Finewood Off-	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	40
Butterfly Firehand	9.3	6.9	6.3	8.0	8.3	7.8	11	65
Butterfly FREITAS ALC	8.8	9.4	5.8	5.6	10.0	9.6	9	199
Butterfly Fukuhara Ai Pro ZLF	8.8	9.7	4.3	5.0	10.0	9.6	8	239
Butterfly Fukuhara Ai Special	9.2	8.3	4.0	5.2	7.5	9.0	3	120
Butterfly Garaydia ALC	8.7	8.7	5.4	6.0	9.5	8.9	11	162
Butterfly Garaydia Revolver-R	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	150
Butterfly Garaydia T5000	9.3	8.6	8.7	7.3	9.0	9.3	9	162
Butterfly Garaydia ZLC	9.1	8.9	6.6	6.2	8.8	9.2	16	245
Butterfly Gergely 21	9.4	8.1	9.6	8.8	8.8	9.1	11	250
Butterfly Gergely Alpha	9.4	8.4	6.9	7.8	10.0	9.0	17	121
Butterfly Gergely Carbon	9.2	8.0	8.8	7.7	9.4	9.0	30	98
Butterfly Gionis Carbon All+	8.4	9.3	5.0	5.2	10.0	9.0	4	60
Butterfly Gionis Carbon Def	6.9	9.0	5.0	6.0	7.5	5.3	2	65
Butterfly Gionis Carbon Off	8.4	8.9	5.0	5.6	10.0	9.3	4	65
Butterfly Gray X	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Butterfly Grubba Carbon	7.2	7.1	6.7	6.7	8.3	7.0	3	80
Butterfly Grubba Pro	6.3	9.2	3.5	4.5	7.9	8.6	8	50
Butterfly Grubba Variant	7.1	8.9	5.0	7.1	10.0	9.0	4	45
Butterfly Guo Yue	5.5	6.8	2.7	3.3	10.0	6.0	4	80
Butterfly H.P. Courpierce R	10.0	10.0	0.0	0.0	5.0	10.0	1	60
Butterfly H.P.Neutrino	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	60
Butterfly H.S. Cryzer	8.6	8.3	3.8	3.0	10.0	9.4	5	100
Butterfly Hadraw JPV-R	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	108
Butterfly Hadraw JPV-S	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	108
Butterfly Hadraw Revolver-R	7.0	6.0	7.0	8.2	10.0	6.0	1	135
Butterfly Hadraw Shield	6.2	8.7	5.0	3.7	10.0	9.0	1	135
Butterfly Hadraw SK	7.4	7.9	5.0	4.7	10.0	8.0	5	108
Butterfly Hadraw SR	8.0	9.0	5.0	3.7	10.0	10.0	1	110
Butterfly Hadraw VK	8.6	8.5	5.0	6.7	10.0	9.0	3	100
Butterfly Hadraw VR	9.2	8.2	9.0	9.4	8.8	8.4	4	121
Butterfly Haruvatart	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	125
Butterfly Haruvatart JP Round	10.0	8.0	7.0	6.7	10.0	9.8	2	185
Butterfly Haruvatart ZL Carbon	9.8	7.9	7.0	8.2	10.0	9.5	3	120
Butterfly Hinoki Pen Winner II	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	80
Butterfly Hinoki Shake 5	5.7	9.7	4.0	3.7	10.0	9.4	3	85
Butterfly Hinoki Shake Speedy	9.3	8.5	7.0	6.7	10.0	(not rated)	1	100
Butterfly Hinoki Shake Swift	8.0	9.0	3.0	2.2	10.0	(not rated)	1	80
Butterfly Holycrown	9.1	8.4	6.0	6.3	8.8	9.6	4	135
Butterfly HP Winner	8.0	7.8	5.0	3.7	10.0	(not rated)	1	60
Butterfly Innerforce	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Butterfly Innerforce AL	8.1	8.6	4.5	4.6	10.0	9.0	19	150
Butterfly Innerforce ALC	8.8	9.1	5.4	5.7	9.8	9.4	33	135
Butterfly Innerforce Layer AL	8.3	8.8	3.0	3.7	5.0	9.3	3	115
Butterfly Innerforce Layer ALC	9.1	9.4	4.3	4.9	10.0	9.5	29	160
Butterfly Innerforce Layer ALC.S	8.6	9.2	4.2	3.8	8.9	9.0	9	150
Butterfly Innerforce Layer ZLC	9.1	9.2	5.3	5.5	8.6	9.4	10	215
Butterfly Innerforce Layer ZLF	8.5	9.5	5.0	5.2	9.2	9.5	7	189
Butterfly Innerforce T5000	9.3	8.7	6.5	7.8	9.7	9.6	19	150
Butterfly Innerforce ULC	9.0	8.9	5.8	6.1	8.6	9.2	11	125
Butterfly Innerforce ZLC	9.2	8.9	4.8	5.8	9.0	9.4	59	275
Butterfly Innerforce ZLF	8.9	9.0	3.8	4.8	9.2	9.3	27	170
Butterfly Innershield Layer ZLF	6.8	9.5	3.0	3.7	10.0	9.1	2	189
Butterfly Innershield ZLF	6.7	9.4	2.5	2.8	10.0	8.5	7	184
Butterfly Iolite	9.0	8.2	6.7	6.3	7.9	9.0	7	103
Butterfly Iolite Neo	9.5	8.5	5.7	5.5	8.8	9.4	15	155
Butterfly Ishlion	9.0	8.2	6.7	7.2	9.0	8.8	16	150
Butterfly Jonyer Hinoki	7.3	8.5	3.0	4.0	8.8	8.2	19	100
Butterfly Jonyer Hinoki Special	7.5	8.2	4.0	4.3	8.3	8.4	6	134
Butterfly Joo Se Hyuk	7.2	8.8	6.5	6.6	7.8	9.1	26	95
Butterfly Jun Mizutani	9.5	8.8	6.0	6.7	9.0	9.4	41	249
Butterfly Jun Mizutani Super ZLC	9.6	8.9	6.7	6.7	10.0	9.4	24	374
Butterfly Jun Mizutani ZLC	9.0	8.9	5.8	6.2	9.4	9.4	9	249
Butterfly Kazan	7.0	8.0	7.0	6.7	10.0	7.5	2	0
Butterfly Kenny Pro	6.8	8.2	5.0	3.7	(not rated)	7.1	1	100
Butterfly KENTA ALC FL	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	175
Butterfly Kenta Matsudaira ALC	8.7	9.3	3.3	6.2	10.0	8.8	4	189
Butterfly Keyshot	8.3	8.6	5.4	4.7	9.3	9.4	7	189
Butterfly Keyshot Alpha	8.7	8.6	5.0	2.7	7.5	9.5	4	0
Butterfly Keyshot Light	8.6	8.9	5.4	4.2	8.2	9.0	19	95
Butterfly Kim Taek Soo	9.6	7.3	9.0	4.1	8.3	8.0	4	100
Butterfly Kiso Hinoki V	8.0	8.9	5.0	4.5	9.4	9.1	8	50
Butterfly Kiso Hinoki VII	8.7	8.2	6.3	4.7	7.5	9.0	3	85
Butterfly Kitoh Pro	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Butterfly Klampar	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Butterfly Kong Linghui	7.9	8.4	3.4	3.3	8.0	8.6	7	150
Butterfly Kong Linghui Euro	8.0	8.0	5.9	5.8	8.6	8.0	16	90
Butterfly Kong Linghui Special	8.5	8.7	5.4	4.9	9.2	9.1	12	100
Butterfly Korbel MagicHand	8.9	7.8	6.0	6.0	10.0	8.3	3	78
Butterfly Korbel SK7	8.4	8.7	6.3	5.2	9.5	9.1	25	80
Butterfly Korbel Speed	7.6	8.1	5.5	6.0	7.0	7.7	9	91
Butterfly Kreanga Aeros Off+	9.3	8.2	7.3	7.9	10.0	9.1	9	140
Butterfly Kreanga Carbon	9.3	7.4	7.5	8.4	9.4	9.2	22	400
Butterfly Kreanga PowerKev Carbon	9.7	9.6	0.0	2.6	10.0	9.5	2	110
Butterfly Kreanga Powerspin	8.4	7.8	5.9	7.1	6.0	8.2	8	65
Butterfly Kumpuru	8.4	8.7	7.0	5.2	10.0	8.9	3	100
Butterfly Lapuhta	10.0	9.5	6.5	3.7	10.0	9.5	2	69
Butterfly Lars Hielscher	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	80
Butterfly Lejumu	6.5	7.5	10.0	6.7	5.0	7.0	2	56
Butterfly Liu Shiwen	9.2	9.5	3.5	4.1	9.2	9.6	40	259
Butterfly Liu Shiwen ZLF	9.4	9.5	4.0	4.7	10.0	9.7	3	259
Butterfly Marcos Freitas ALC	9.0	9.2	5.0	5.2	9.3	9.3	11	203
Butterfly Matsushita Pro	6.0	8.7	2.9	4.0	9.4	8.5	10	50
Butterfly Matsushita Pro Alpha	7.5	9.5	3.0	4.5	10.0	9.0	2	140
Butterfly Matsushita Pro Special	7.1	9.3	6.5	4.5	10.0	8.6	4	120
Butterfly Maze Advance	5.8	9.8	6.0	6.2	10.0	9.7	4	47
Butterfly Maze Magic	8.5	8.0	5.0	6.7	5.0	8.3	1	45
Butterfly Maze Passion	8.0	8.9	5.7	6.6	9.5	8.8	13	65
Butterfly Maze Performance	8.4	8.4	5.1	3.5	9.4	8.9	14	70
Butterfly Maze T-Tec ALL+	7.5	8.5	8.5	7.1	10.0	8.9	5	60
Butterfly Maze T-Tec OFF	8.0	8.3	5.1	6.1	7.9	8.7	8	85
Butterfly Mazunov	8.8	7.7	6.7	8.1	8.8	8.6	14	80
Butterfly Michael Maze	8.6	8.5	5.2	6.1	9.2	9.3	51	250
Butterfly Millerga	8.1	8.8	3.2	4.6	10.0	8.7	5	49
Butterfly Moonbeam	9.2	6.6	8.3	6.7	10.0	8.8	15	300
Butterfly Nitchugo Super	8.9	8.4	7.5	7.0	10.0	9.0	7	50
Butterfly Oh Sang Eun	7.8	8.9	4.9	4.9	9.3	9.0	20	65
Butterfly Paramount 7.5	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	235
Butterfly Perdir	9.0	9.5	5.0	5.2	10.0	9.5	1	0
Butterfly Petr Korbel	8.3	8.6	5.0	5.4	8.6	8.9	73	63
Butterfly Phalanx II	7.9	8.9	5.0	5.2	10.0	9.0	3	56
Butterfly Photino	9.4	8.4	5.4	5.3	9.7	9.6	27	200
Butterfly Photino Light	9.4	8.3	4.4	5.2	9.2	9.1	14	159
Butterfly Power 7	9.0	8.4	5.2	5.5	6.1	8.8	13	60
Butterfly Power Defence	8.0	7.5	10.0	8.2	10.0	8.3	2	55
Butterfly Power Drive	8.5	8.8	5.0	4.2	10.0	9.2	3	0
Butterfly Power Drive II	8.9	9.1	3.0	4.1	10.0	9.9	4	80
Butterfly Primo Powerfeeling	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Butterfly Primo Vitesse	8.4	8.4	6.5	6.3	10.0	8.6	11	100
Butterfly Primorac	7.7	8.8	4.5	4.9	8.4	8.7	73	50
Butterfly Primorac 2000	8.3	8.4	5.0	4.8	10.0	9.2	4	40
Butterfly Primorac 2017	7.5	8.0	3.0	5.2	5.0	7.5	1	45
Butterfly Primorac Carbon	9.3	7.4	7.2	7.9	9.2	8.9	52	108
Butterfly Primorac EX	8.3	9.2	4.8	3.9	10.0	9.2	16	68
Butterfly Ranunculus	(not rated)	(not rated)	7.0	8.2	(not rated)	(not rated)	1	0
Butterfly Redox	7.8	8.2	5.0	3.7	10.0	8.5	1	63
Butterfly Retriever	7.5	9.0	7.0	2.2	10.0	10.0	1	115
Butterfly Reygundo	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	120
Butterfly Ryu Seung Min G Max	9.7	8.7	6.8	3.9	10.0	9.6	4	120
Butterfly Ryu Seung Min G Max T5000	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	140
Butterfly Ryu Seung Min Max	9.8	7.0	10.0	2.2	10.0	9.9	1	200
Butterfly Ryu Seung Min ZLC Japanese	9.0	8.6	5.0	3.7	10.0	9.4	1	350
Butterfly SA-01	5.8	9.2	5.0	3.7	(not rated)	9.0	1	58
Butterfly Salvo	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Butterfly Sardius	9.5	7.0	8.3	8.9	8.3	8.8	51	135
Butterfly Schlager Aramid Carbon OFF	8.3	9.5	5.0	3.0	10.0	9.0	2	150
Butterfly Schlager Carbon	9.5	7.3	8.5	8.9	9.4	9.0	48	300
Butterfly Schlager Carbon Light	9.2	8.1	6.0	7.0	6.7	9.3	9	150
Butterfly Schlager Inspire	9.6	7.2	7.0	8.2	10.0	9.0	1	61
Butterfly Schlager Precision	7.6	8.1	5.1	7.0	8.3	8.4	15	71
Butterfly SCS-2000	7.5	7.3	4.0	5.2	2.5	7.7	2	35
Butterfly Senkoh 6	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Butterfly Senkoh 85	7.8	8.3	8.5	4.5	10.0	8.0	3	55
Butterfly Senkoh 90	8.9	8.4	6.2	5.9	10.0	9.2	5	75
Butterfly Senkoh FT-S	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	50
Butterfly Senkoh HCK	9.0	8.0	5.0	5.2	10.0	8.0	1	85
Butterfly Senkoh MAX	9.4	8.1	5.9	8.3	10.0	9.0	7	75
Butterfly Senkoh Special 90	9.0	9.0	10.0	8.2	10.0	9.0	1	76
Butterfly Senkoh Special 92	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	70
Butterfly Senkoh-1	8.2	8.4	7.3	3.7	8.0	8.5	5	85
Butterfly Senkoh-5	8.0	9.0	5.0	3.7	10.0	8.0	2	53
Butterfly Shamada	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	45
Butterfly SK Carbon	8.1	8.7	5.3	6.7	8.3	9.0	4	106
Butterfly SK Classic	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	89
Butterfly SK7	8.4	8.7	4.8	4.2	8.8	8.7	5	99
Butterfly Strave OFF	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	129
Butterfly Supreme Speed	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	175
Butterfly Taksim	9.0	8.6	6.2	5.8	9.4	9.2	12	260
Butterfly Taksim X	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	185
Butterfly Tamaropa	9.0	6.0	(not rated)	(not rated)	(not rated)	(not rated)	1	20
Butterfly Tamca Gergely 5000	9.0	5.0	10.0	10.0	10.0	9.8	1	0
Butterfly Tamca ULC	9.0	4.0	7.5	8.4	7.5	10.0	2	126
Butterfly Tenper Speed	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	70
Butterfly Tiago Apolonia ZLC	9.1	9.0	5.2	5.3	10.0	9.4	11	260
Butterfly Timberfeel OFF-	8.0	9.2	5.0	5.7	10.0	9.3	4	66
Butterfly Timbershot Off+	9.0	8.0	7.0	8.2	10.0	8.0	2	90
Butterfly Timbertouch ALL	7.2	9.3	5.0	5.2	10.0	9.5	2	53
Butterfly Timo Boll	8.0	9.5	3.0	5.2	(not rated)	9.3	3	45
Butterfly Timo Boll ALC	8.9	8.6	5.7	6.1	9.2	9.3	108	150
Butterfly Timo Boll ALL	7.0	9.3	6.7	7.8	10.0	8.7	3	55
Butterfly Timo Boll ALL+	7.8	9.1	3.7	4.7	9.0	8.7	25	53
Butterfly Timo Boll CAF	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	113
Butterfly Timo Boll Forte	8.5	8.2	5.2	5.8	8.3	8.6	19	70
Butterfly Timo Boll J	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	73
Butterfly Timo Boll OFF-	7.9	8.6	5.3	5.1	9.2	8.8	19	65
Butterfly Timo Boll Spark	7.6	8.1	3.5	4.8	9.2	8.5	13	145
Butterfly Timo Boll Spirit	8.5	8.5	5.5	6.0	9.3	9.3	105	135
Butterfly Timo Boll T5000 Tamca	9.6	8.0	7.2	8.1	8.6	9.0	23	162
Butterfly Timo Boll TJ	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	113
Butterfly Timo Boll W5	8.5	9.0	5.3	5.5	9.3	9.3	25	85
Butterfly Timo Boll W7	8.9	8.7	7.1	7.5	9.6	8.6	14	93
Butterfly Timo Boll XXS	8.0	8.3	6.7	7.4	10.0	8.3	4	25
Butterfly Timo Boll ZLC	9.3	9.1	5.5	6.2	9.2	9.3	43	227
Butterfly Timo Boll ZLF	8.8	9.3	5.2	5.5	9.9	9.4	42	250
Butterfly Viscaria	9.0	8.7	5.1	5.4	9.2	9.4	95	155
Butterfly Viscaria Light	8.8	8.3	6.2	5.8	8.2	9.5	17	150
Butterfly VSG-1000	9.3	7.7	4.0	6.7	8.8	8.6	6	196
Butterfly VSG-2000	9.2	7.8	6.4	6.1	5.0	8.4	7	46
Butterfly VSG-3000	8.2	8.4	5.0	5.2	5.0	8.5	2	60
Butterfly VSG-4000	8.0	8.2	6.6	6.7	5.0	8.5	6	44
Butterfly VSG-TWIST I	(not rated)	(not rated)	10.0	10.0	10.0	(not rated)	1	60
Butterfly VSG-TWIST II	9.0	9.0	5.0	6.7	5.0	8.0	2	60
Butterfly VSG-TWIST III	2.9	9.9	3.0	0.0	10.0	8.9	1	64
Butterfly VSG-TWIST IV	9.0	6.0	6.0	7.5	7.5	9.0	2	80
Butterfly Wakaba-An	8.0	8.4	4.6	6.2	6.9	8.0	10	40
Butterfly XStar	7.2	8.8	3.7	5.0	10.0	8.5	6	50
Butterfly XStar III	6.5	9.1	3.0	3.7	10.0	8.8	1	55
Butterfly XStar IV	7.3	9.5	7.0	3.0	7.5	9.0	2	66
Butterfly Yoshida Kaii	8.3	8.5	7.0	7.7	8.3	9.3	4	75
Butterfly Yoshimura Maharu	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	330
Butterfly Yuki- AN	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	40
Butterfly Yuki-II	8.5	8.9	5.0	5.2	10.0	8.9	1	40
Butterfly Zhang Jike	8.6	9.1	4.8	5.1	9.6	9.4	30	160
Butterfly Zhang Jike ALC	9.3	9.0	5.8	5.6	9.4	9.5	18	189
Butterfly Zhang Jike Super ZLC	9.4	9.4	6.2	6.8	9.5	9.5	33	413
Butterfly Zhang Jike T5000	9.0	8.8	7.0	8.6	10.0	9.3	5	202
Butterfly Zhang Jike ZLC	9.1	8.8	7.8	6.1	10.0	9.0	5	275
Butterfly Zhang Yining	7.9	8.3	4.0	6.0	10.0	8.5	2	55
Champion Bipa	9.0	9.0	7.0	8.2	10.0	8.8	1	30
Champion Bipa Special	9.0	9.0	7.0	2.2	(not rated)	9.0	2	40
Champion Hinoki Pro Gold	9.0	8.0	3.0	5.2	5.0	8.0	1	90
Champion Hinoki Pro Silver	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	70
Champion MAXX	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	54
Cornilleau AERO ALL	5.5	9.5	3.0	6.7	10.0	(not rated)	1	0
Cornilleau AERO ALL+	9.5	(not rated)	(not rated)	3.7	(not rated)	(not rated)	1	0
Cornilleau AERO OFF	8.6	9.0	5.7	5.2	8.3	8.4	3	50
Cornilleau Aero OFF+ Soft Carbon	9.2	8.8	4.4	5.0	9.2	9.4	13	59
Cornilleau AERO OFF-	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Cornilleau Calderano FOCO OFF+	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	48
Cornilleau Calderano FOCO OFF-	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	48
Cornilleau CONQUEST OFF	8.3	9.1	7.0	7.2	10.0	9.7	3	95
Cornilleau Gatien Absolum OFF+	9.6	7.9	7.0	8.2	10.0	9.6	3	120
Cornilleau Gatien Crown ALL+	7.5	9.5	4.0	5.2	10.0	9.0	2	45
Cornilleau Gauzy Quest All+	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	40
Cornilleau Gauzy Quest OFF	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	45
Cornilleau GLORY OFF	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	105
Cornilleau Hinotec ALL+	7.5	7.3	5.0	3.7	(not rated)	7.5	2	0
Cornilleau Hinotec OFF	8.2	8.5	4.3	6.3	8.3	8.7	4	65
Cornilleau Hinotec OFF+ Carbon	9.0	7.6	5.0	7.5	6.3	7.8	5	100
Cornilleau Hinotec OFF-	7.8	8.5	3.8	4.6	10.0	8.3	5	71
Cornilleau Hugo Calderano OFF+	8.0	8.8	6.0	6.0	10.0	9.8	2	60
Cornilleau Hugo Calderano OFF-	6.0	6.0	3.0	5.2	10.0	6.0	1	60
Cornilleau ORIGIN OFF-	8.5	8.9	6.0	6.0	10.0	8.6	2	0
Cornilleau PURE CARBON OFF+	9.7	7.5	7.0	7.5	7.5	9.2	2	88
Cornilleau Simon Gauzy Quest Off	8.3	9.4	6.2	8.3	8.3	9.4	7	45
Cornilleau VISION SOFT CARBON OFF+	8.9	7.8	6.2	6.0	10.0	9.5	7	45
CTTA Carbon Strike	7.8	8.5	2.5	4.5	5.0	8.0	2	32
CTTA Pro Tour Carbon Flex	8.2	8.8	3.3	4.7	10.0	9.0	3	32
CTTA Super League Pro Flex	8.0	8.0	5.0	6.7	5.0	8.0	1	18
CTTA Super League Silver Power	6.8	8.3	6.0	6.7	5.0	7.1	2	18
Darker 5P-2A	8.4	8.4	5.0	5.1	10.0	9.3	2	90
Darker 7P-2A	8.3	9.2	6.5	4.0	10.0	9.6	8	97
Darker 7P-2A.7t	8.6	9.1	5.8	4.9	7.5	9.2	5	108
Darker 7P-2A.Carbon	8.8	9.6	4.7	5.4	10.0	8.9	8	128
Darker 7P-2A.DF	6.7	9.6	3.3	2.7	10.0	8.9	4	90
Darker 7P.2A Aquablade	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	90
Darker Alba Sakura	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	150
Darker Aquablade Alpha	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	150
Darker Esteem	9.6	9.4	5.7	6.5	8.0	9.6	7	121
Darker Hinoki Tanpan	8.5	8.8	6.0	3.7	5.0	9.0	3	400
Darker Legato 2A	8.3	8.5	6.0	6.7	7.5	8.1	2	66
Darker Liberta Synergy	9.3	9.4	5.0	6.7	10.0	9.3	2	123
Darker Mai Gouban	9.1	9.4	5.0	3.7	10.0	9.2	1	100
Darker Serio Sakura	9.5	8.5	5.0	3.7	10.0	9.0	1	150
Darker Speed 90	9.5	9.4	4.4	2.9	9.4	9.5	22	291
Darker Spline D1	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	85
Darker Spline N2	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	100
Darker Spline N3	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	100
Dawei Carbon King	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	38
Dawei DC 20	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	38
Dawei Energy	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	38
Dawei Genote Bio X50	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	35
Dawei Genote Quattro A+	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	28
Dawei Genote Quattro C (EC)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	38
Dawei Genote Quattro F (EF)	8.4	9.0	7.0	3.2	10.0	9.0	3	25
Dawei Genote Quattro O (EO)	8.0	9.0	0.0	6.7	(not rated)	8.2	1	32
Dawei Genote Quattro S (ES)	8.1	7.5	2.8	4.4	10.0	8.3	4	32
Dawei Genote Quattro X (EX)	8.8	8.0	5.0	4.5	5.0	8.0	3	31
Dawei GTO	8.2	8.6	6.0	6.0	10.0	8.6	3	38
Dawei GTS	7.3	7.2	3.8	4.3	6.7	8.7	4	32
Dawei Kama	8.4	8.5	5.0	5.1	(not rated)	8.5	3	11
Dawei Matrix	8.2	8.4	4.2	4.4	4.0	8.3	8	18
Dawei Maxim	9.1	7.6	5.0	5.2	(not rated)	7.0	1	35
Dawei MHN 1-Ply Hinoki	8.4	8.2	1.5	(not rated)	(not rated)	8.4	2	40
Dawei MPC	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	40
Dawei MPI	7.0	7.5	10.0	8.2	(not rated)	7.5	1	35
Dawei MPV	8.0	6.0	10.0	8.2	(not rated)	8.0	1	47
Dawei Navigator WRC	8.8	8.6	5.0	5.2	5.0	9.0	1	33
Dawei Quattro Allround Hinoki	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	22
Dawei Quattro Allround Limba	8.3	9.0	4.0	5.2	(not rated)	8.8	2	22
Dawei R1	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	15
Dawei R2	7.9	8.7	4.7	5.7	6.7	8.7	6	14
Dawei R3	8.3	10.0	3.0	6.7	10.0	10.0	2	15
Dawei R4	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	15
Dawei R5	8.0	7.0	8.5	6.7	10.0	8.0	3	15
Dawei S.Matz	8.8	8.6	7.0	6.7	(not rated)	8.8	1	40
Dawei Saviga+	8.5	9.5	3.0	5.2	(not rated)	(not rated)	1	22
Dawei Smart	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	38
Dawei ST-1 Crystal Carbon	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	25
Dawei Swift	7.8	8.0	7.0	5.2	(not rated)	8.0	1	36
Dawei VTS	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	50
Dawei Wavestone	10.0	6.0	10.0	6.7	0.0	8.9	1	32
Dawei Wavestone WRB	9.1	7.4	6.8	5.1	5.0	9.1	6	43
