Rubber	Speed	Spin	Control	Tacky	Weight	SpongeHardness	Gears	ThrowAngle	Consistency	Durable	Overall	Ratings	Price
Andro Maxcell SuperSponge	(not rated)	(not rated)	(not rated)	8.0	4.0	0.0	4.0	6.0	5.0	7.0	7.0	1	22
Andro Plasma 380	7.7	8.3	8.8	2.0	2.7	0.9	6.0	4.0	10.0	5.5	8.7	14	47
Andro Plasma 430	8.6	8.5	8.1	1.2	2.8	4.0	6.2	5.3	9.5	4.5	8.5	14	47
Andro Plasma 470	9.1	8.0	7.3	2.1	5.1	6.5	6.0	5.6	8.5	4.9	8.5	12	44
Andro Plasma Women	8.6	8.8	9.0	1.1	0.4	0.2	8.6	7.3	9.6	9.5	9.4	18	37
Andro Plaxon 350	8.6	9.2	9.3	0.7	2.7	2.0	7.0	4.7	8.3	7.7	9.0	3	44
Andro Plaxon 400	8.9	9.3	9.3	0.4	3.0	4.0	9.0	4.4	10.0	10.0	9.2	8	44
Andro Plaxon 450	9.1	9.0	9.1	1.0	5.5	5.0	7.8	5.0	10.0	10.0	8.9	4	44
Andro Plaxon 525	9.3	9.2	8.8	1.5	7.0	7.5	7.8	6.0	10.0	8.3	9.3	4	52
Andro Rasant	9.2	9.4	9.0	2.1	5.2	5.5	9.0	5.6	9.5	8.5	9.5	142	57
Andro Rasant Beat	8.9	9.4	9.4	1.7	3.1	1.8	8.9	4.4	9.7	8.6	9.3	20	56
Andro Rasant Chaos	10.0	10.0	10.0	0.0	4.0	(not rated)	10.0	(not rated)	10.0	10.0	10.0	1	35
Andro Rasant Grip	9.1	9.5	9.2	2.3	5.6	5.4	8.8	4.8	9.4	8.4	9.5	119	53
Andro Rasant PowerGrip	9.4	9.5	9.0	2.3	6.7	8.1	8.9	5.5	9.6	8.1	9.5	56	56
Andro Rasant Powersponge	8.7	9.3	9.4	2.3	3.8	3.0	8.5	4.4	9.3	8.5	9.3	46	53
Andro Rasant Turbo	9.5	9.1	8.4	1.4	6.1	7.0	8.9	5.1	9.4	9.0	9.4	38	43
Andro Rasanter	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Andro Rasanter R37	8.9	9.2	9.6	1.7	3.0	1.2	7.1	5.7	9.4	8.4	9.4	30	38
Andro Rasanter R42	9.1	9.5	9.4	2.2	3.7	4.3	8.2	6.1	9.4	8.3	9.5	33	38
Andro Rasanter R47	9.5	9.5	9.1	1.7	5.4	6.4	9.3	6.0	9.4	7.7	9.5	56	47
Andro Rasanter R50	9.4	9.4	8.9	1.7	6.6	7.9	8.6	6.5	9.1	8.0	9.4	24	50
Andro Rasanter V42	9.2	9.2	9.4	1.3	4.0	3.8	8.9	5.4	10.0	8.9	9.3	11	49
Andro Rasanter V47	9.4	9.3	9.2	1.1	5.1	6.6	8.6	5.6	9.6	9.1	9.2	18	49
Andro Revo Fire	8.3	8.3	8.5	2.4	3.8	4.6	6.0	5.2	10.0	6.6	8.6	12	45
Andro Revolution	9.1	7.8	7.7	2.0	5.0	6.0	4.0	5.0	10.0	5.0	8.8	2	39
Andro Revolution C.O.R.	9.0	9.0	8.4	2.0	6.0	10.0	7.0	2.0	10.0	7.0	8.9	1	30
Andro Revolution C.O.R. SuperSponge	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	0.0	10.0	10.0	1	30
Andro Revolution C.O.R.²	8.9	7.5	7.8	1.3	6.7	7.0	4.0	4.7	10.0	7.0	8.3	3	49
Andro Revolution C.O.R.² Emotion	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	49
Andro Revolution C.O.R.² SuperSponge	8.5	8.0	8.0	2.0	6.0	3.0	7.0	(not rated)	10.0	5.0	(not rated)	1	49
Andro Revolution Fire	8.0	7.0	7.0	4.0	6.0	3.0	7.0	5.0	10.0	8.5	8.5	2	36
Andro Revolution Quad 420	8.1	7.9	7.9	3.7	4.0	2.7	5.5	4.0	5.0	4.5	5.8	7	43
Andro Revolution Quad 450	8.5	7.5	5.5	2.5	5.0	5.0	4.0	5.0	(not rated)	2.5	7.0	2	43
Andro Revolution Quad 480	7.5	7.5	6.5	7.5	6.0	8.5	7.0	7.0	7.5	8.5	7.0	2	43
Andro Rocket Hard	8.4	8.8	8.4	4.0	4.4	7.0	8.5	2.5	6.7	5.8	7.9	5	30
Andro Rocket Medium	7.9	7.3	8.4	0.7	3.3	5.0	7.0	3.2	6.0	6.7	7.7	7	30
Andro Rocket Soft	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	30
Andro Roxon 330	8.1	8.9	8.6	1.7	2.2	0.3	6.4	4.5	9.2	6.4	8.6	19	49
Andro Roxon 450	9.2	7.8	8.0	1.4	4.0	3.9	7.5	3.5	8.5	5.8	8.6	15	49
Andro Roxon 500 Pro	9.5	8.3	7.5	1.7	5.1	6.5	5.8	3.1	9.2	4.4	8.7	17	50
Andro Shifter	8.3	8.5	9.0	0.5	4.5	3.5	7.0	5.3	10.0	7.3	9.0	4	42
Andro Shifter PowerSponge	8.5	8.9	9.2	1.5	3.7	3.5	8.5	6.0	10.0	9.0	9.0	6	37
Andro Start	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	7
Andro Upgrade	7.0	7.5	9.1	0.5	3.5	6.0	5.5	3.0	10.0	9.0	8.2	4	9
Andro Zenith G	9.0	9.7	9.0	(not rated)	(not rated)	5.0	(not rated)	(not rated)	(not rated)	(not rated)	9.0	2	19
Armstrong Hikari SR 7	7.2	9.1	8.8	2.0	8.0	10.0	4.0	2.0	10.0	10.0	9.4	2	0
Armstrong Hikari SR 7 40°	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Armstrong New Anti Spin	5.5	5.9	9.4	4.3	0.0	0.8	3.3	2.0	8.3	4.0	9.0	4	42
Armstrong New Chopper	5.0	9.0	8.7	5.0	0.0	0.0	7.0	3.0	10.0	7.0	7.0	2	35
Armstrong New Spirit-Hi	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	1	27
Armstrong Seifuku SS Conqueror 42	8.2	8.8	9.9	2.0	2.0	5.0	10.0	2.0	10.0	10.0	9.5	1	35
Armstrong SH-I	8.4	8.9	8.8	1.0	4.0	4.0	8.5	4.0	10.0	10.0	9.0	2	40
Artengo 920s	6.4	6.8	6.3	3.5	4.0	2.5	4.0	4.0	5.0	5.0	7.5	3	30
Avalox Pronte	7.8	8.4	9.1	3.5	4.0	1.0	7.0	6.0	10.0	10.0	8.8	4	26
Avalox Purot	7.8	8.7	9.0	3.8	6.7	6.8	8.5	4.5	10.0	8.8	9.1	6	22
