Rubber	Speed	Spin	Control	Tacky	Weight	SpongeHardness	Gears	ThrowAngle	Consistency	Durable	Overall	Ratings	Price
Galaxy Earth 2	8.5	8.4	9.0	5.0	4.0	4.0	7.8	6.7	10.0	8.0	8.7	4	12
Galaxy Jupiter	8.7	9.2	8.8	4.8	5.3	4.7	7.0	7.1	8.3	6.2	8.9	8	21
Galaxy Jupiter II	8.9	8.9	8.9	6.6	6.0	7.2	7.6	6.8	9.0	6.3	8.9	6	16
Galaxy Mars	8.3	8.5	8.6	5.8	6.5	6.0	7.0	5.0	8.3	6.5	8.7	4	12
Galaxy Mars V2	8.6	8.4	8.6	2.0	5.0	4.9	5.6	4.2	8.5	6.6	8.5	29	13
Galaxy Mercury	6.7	7.7	8.1	3.4	6.4	6.4	4.6	4.0	2.5	5.0	7.3	5	6
Galaxy Mercury II	8.6	9.0	8.6	6.3	5.2	4.6	6.3	5.7	8.0	5.6	8.8	66	8
Galaxy Moon	8.7	8.6	8.8	1.9	4.5	5.6	6.2	4.6	8.1	6.6	8.8	61	16
Galaxy Moon Pro	9.0	9.3	9.0	6.7	5.2	5.7	7.8	6.4	8.7	7.5	9.2	29	30
Galaxy Moon Speed	8.6	8.0	7.7	2.5	5.2	3.7	7.2	4.1	8.6	6.8	8.7	15	18
Galaxy Saturn	8.3	9.0	9.3	6.5	4.5	6.0	9.3	4.0	10.0	7.8	9.6	4	29
Galaxy Saturn Pro	8.8	9.3	9.1	5.5	4.6	5.7	7.9	6.0	8.6	5.8	8.9	7	20
Galaxy Sun	8.7	8.8	9.0	2.1	6.1	5.2	7.3	4.3	8.7	7.4	8.8	28	16
Galaxy Sun Pro	8.7	8.6	7.7	8.7	6.7	6.3	8.0	4.7	10.0	8.0	8.6	3	30
Galaxy Venus	8.0	8.3	8.2	3.6	5.0	4.6	6.0	4.3	5.0	5.5	7.9	16	16
Galaxy Venus 2	8.4	8.8	8.5	7.4	6.0	6.9	7.4	3.9	7.5	8.1	9.2	21	15
Galaxy Venus 3	8.7	8.5	10.0	(not rated)	6.0	(not rated)	(not rated)	(not rated)	(not rated)	10.0	8.6	1	20
Gambler 9	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	14
Gambler 9 Ultra Tack	8.5	8.7	8.5	5.0	4.0	7.0	7.0	4.0	10.0	7.0	8.5	1	14
Gambler Aces	8.2	8.1	8.3	6.0	3.3	3.4	5.5	4.8	10.0	7.0	8.2	6	14
Gambler Aces Pro	6.0	5.0	7.0	2.0	4.0	5.0	1.0	2.0	10.0	7.0	5.0	1	14
Gambler Big Gun	8.8	8.8	8.8	2.0	4.0	5.0	4.0	4.0	10.0	7.0	8.5	1	14
Gambler Big Gun (Thors Hammer Sponge)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	14
Gambler Burst	8.4	8.8	8.8	6.5	4.0	3.0	8.5	3.0	10.0	8.5	8.8	2	14
Gambler Burst (Thors Hammer Sponge)	9.0	9.0	9.0	8.0	6.0	7.0	(not rated)	(not rated)	(not rated)	(not rated)	9.0	1	14
Gambler Four Kings	6.7	8.1	7.9	5.8	3.0	3.8	4.5	4.7	10.0	6.5	8.1	8	14
Gambler Four Kings Pro	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	14
Gambler Mech-Tek Predator	8.5	8.5	9.0	0.0	4.0	5.0	10.0	6.0	10.0	5.0	9.0	1	14
Gambler Nine Ultra Tack	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	14
Gambler Outlaw (Lavender Sponge Tuned)	8.1	7.8	7.1	1.3	2.5	5.0	4.9	4.7	5.0	4.0	8.0	8	14
Gambler Outlaw (Soft Yellow Sponge Tuned)	7.8	8.5	9.8	10.0	2.0	0.0	4.0	6.0	5.0	10.0	9.3	1	14
Gambler Outlaw (Tuned)	8.9	8.2	8.0	1.6	3.4	4.8	7.5	4.2	8.6	3.3	8.3	40	14
Gambler Outlaw Pro	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	22
Gambler Reflectoid	5.4	8.0	8.8	7.2	2.2	1.5	5.9	4.3	9.1	7.2	8.5	23	14
Gambler Sevens Pro	8.5	8.5	8.5	5.0	2.0	3.0	7.0	2.0	10.0	10.0	8.5	1	14
Gambler Shadow	6.0	8.0	8.0	6.5	3.0	4.0	4.0	6.0	5.0	(not rated)	7.8	2	14
Gambler Six Shooter	7.2	7.3	8.1	1.0	3.4	2.7	4.0	3.4	6.3	5.0	7.8	7	14
Gambler Six Shooter (Pre-Tuned)	6.9	6.8	7.0	1.6	3.6	5.0	4.6	3.6	10.0	5.7	5.7	6	14
Gambler Six Shooter AMP Classic	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	14
Gambler Six Shooter AMP Lavender	8.0	8.0	9.0	0.0	4.0	5.0	4.0	4.0	10.0	0.0	6.0	1	14
Gambler Six Shooter AMP Soft	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	14
Gambler Six Shooter Magnum	8.0	8.0	8.0	0.0	4.0	5.0	4.0	4.0	10.0	(not rated)	8.0	1	14
Gambler Six Shooter Pro	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	22
Gambler Wraith (Wrath)	8.3	8.4	8.1	6.1	4.0	4.1	4.5	3.7	8.8	5.7	8.7	9	14
Gambler X3 Diamond	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	14
Gambler X3 Diamond Gearz	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	14
Gambler Zero	8.1	8.1	8.7	2.0	4.0	3.0	7.0	4.0	10.0	10.0	8.7	1	14
Gambler Zero (Blue Diamond Sponge)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	14
Gambler Zero (Thors Hammer Sponge)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	14
Gewo CS Powerspeed	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	23
Gewo Flexxon	9.5	9.4	9.1	2.5	4.8	6.7	7.8	4.1	9.0	7.7	9.4	21	58
Gewo Flexxon FX	9.0	9.2	9.1	1.3	3.5	4.2	7.5	6.3	8.6	8.1	9.3	15	58
Gewo Flexxon Soft	8.6	9.3	9.3	1.7	2.8	1.2	7.6	6.6	8.5	8.7	9.2	11	58
Gewo Hype EL Pro 40.0	8.6	9.4	9.4	0.9	2.9	2.5	7.9	7.2	7.9	7.0	9.2	19	52
Gewo Hype EL Pro 42.5	9.0	9.2	9.3	1.1	4.1	4.6	7.4	5.5	8.7	7.0	9.1	18	52
Gewo Hype EL Pro 47.5	9.1	9.0	8.9	0.7	5.5	6.6	7.2	4.5	7.7	6.4	8.8	23	44
Gewo Hype KR Pro 47.5	9.3	9.4	9.1	2.0	5.2	6.7	7.9	4.0	9.4	6.7	9.3	17	30
Gewo Hype XT Pro 40.0	8.5	9.2	9.2	1.1	2.8	2.3	8.2	6.7	9.1	6.9	9.2	18	48
Gewo Hype XT Pro 50.0	9.5	9.4	9.3	2.1	5.8	7.4	9.2	6.2	9.0	8.8	9.4	23	48
Gewo Mega Flex Control	7.5	8.7	9.3	0.7	4.0	4.7	5.5	4.8	8.3	8.3	9.4	9	35
Gewo Nano F Speed	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	50
Gewo Nano S Speed	6.0	9.0	10.0	10.0	6.0	7.0	4.0	6.0	10.0	5.0	8.0	1	50
Gewo Nano S Speed Control	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	50
Gewo Nano X-Speed	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	50
Gewo NanoFLEX FT40	8.5	9.4	9.5	1.3	3.8	2.9	7.8	7.4	10.0	8.5	9.3	18	60
Gewo NanoFLEX FT45	9.1	9.5	9.4	0.5	4.4	5.4	8.4	6.7	8.8	8.6	9.4	12	45
Gewo NanoFlex FT48	9.5	9.5	9.1	0.9	4.8	6.8	9.0	5.5	9.1	8.1	9.4	21	55
Gewo Neoflexx EFT 40	6.7	8.9	8.9	2.0	2.3	3.1	4.3	6.9	8.8	7.8	9.4	10	0
Gewo Neoflexx EFT 45	7.3	9.0	9.2	2.0	3.7	4.7	4.9	6.0	9.2	9.0	9.4	8	0
Gewo Neoflexx EFT 48	7.8	9.3	9.1	2.0	6.3	6.7	5.5	4.9	8.1	7.2	9.2	11	0
Gewo Nexxus EL Pro 38	8.4	9.1	9.0	1.1	3.5	2.8	7.8	7.1	8.8	7.7	9.1	15	53
Gewo Nexxus EL Pro 43	8.9	9.3	9.4	0.8	4.0	5.0	8.9	6.3	8.8	8.8	9.4	10	0
Gewo Nexxus EL Pro 48	9.3	9.3	9.2	1.4	5.7	6.5	7.7	4.9	8.6	7.4	9.3	17	0
Gewo Nexxus El Pro 50 Hard	9.5	9.9	9.9	0.0	6.0	7.0	10.0	8.0	(not rated)	(not rated)	10.0	1	49
Gewo Nexxus XT Pro 48	9.5	9.4	9.4	1.5	6.2	7.2	7.6	4.3	8.9	8.4	9.2	15	55
Gewo Proton Neo 325	8.0	9.3	9.5	0.4	0.6	0.3	7.3	6.9	9.4	8.3	9.4	10	42
Gewo Proton Neo 375	8.7	9.3	9.4	0.5	2.5	3.0	7.8	6.6	10.0	8.9	9.3	8	42
Gewo Proton Neo 450	9.2	9.4	9.5	0.0	4.0	4.7	8.5	6.3	10.0	10.0	9.4	10	40
Gewo Proton Neo 475	9.4	9.5	9.4	0.0	5.8	7.0	7.8	3.5	10.0	9.3	9.3	10	0
Gewo Proton XP 325 Soft	8.0	8.5	8.0	0.0	(not rated)	0.0	10.0	(not rated)	(not rated)	(not rated)	(not rated)	1	50
Gewo Proton XP 385 Sound	7.7	7.3	7.7	1.7	3.0	1.0	7.0	6.0	7.5	6.0	7.3	3	50
Gewo Proton XP 450 Turbo	9.0	8.5	8.3	2.5	4.0	5.0	8.5	5.0	10.0	7.0	8.5	2	50
Gewo Reflexx Soft	8.2	8.7	9.2	2.7	4.0	1.0	8.0	8.0	10.0	5.7	8.6	3	55
Gewo Reflexx Sound	9.0	8.9	8.1	3.0	2.7	3.3	7.0	6.0	10.0	7.0	9.2	3	55
Gewo Reflexx Speed	9.1	8.4	8.5	1.3	3.3	6.3	6.0	4.0	10.0	8.0	8.9	3	55
Gewo Return Drive	6.8	8.7	6.8	5.0	4.0	5.0	10.0	10.0	0.0	4.0	7.0	2	0
Gewo Return Pro	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Gewo Stratos V2 Energy	8.9	7.5	9.0	2.0	2.0	3.0	4.0	4.0	(not rated)	10.0	(not rated)	1	59
Gewo Stratos V2 Sound	9.0	8.9	9.1	0.0	4.0	3.0	7.0	8.0	10.0	7.0	(not rated)	1	59
Gewo Target airTEC	9.2	9.0	8.0	5.0	3.0	4.0	7.0	6.0	10.0	10.0	8.6	2	37
Gewo Target airTEC L	7.4	8.9	9.3	2.0	4.0	5.0	4.0	4.5	8.8	8.3	9.0	4	24
Gewo Target airTEC Ultra Klick	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	40
Gewo Target Energy Clic	(not rated)	10.0	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	1	43
Gewo Thunderball²	8.1	9.2	9.5	3.5	3.0	1.5	10.0	5.0	10.0	10.0	9.5	2	15
Giant Dragon 8088	7.5	8.5	9.0	2.0	4.0	0.0	4.0	2.0	10.0	5.0	8.8	2	23
Giant Dragon Allround	7.5	8.6	9.2	5.0	4.4	5.0	5.5	4.8	10.0	8.8	9.1	5	18
Giant Dragon Guard	5.8	1.3	8.5	0.0	2.0	10.0	7.0	0.0	5.0	10.0	8.0	2	20
Giant Dragon Guard Special	6.1	2.1	8.7	0.0	2.0	5.0	2.5	1.0	6.7	10.0	9.0	3	50
Giant Dragon Guard Super Anti	5.5	4.0	9.0	2.0	2.0	3.0	7.0	2.0	10.0	5.0	8.0	1	30
Giant Dragon Karate Hard	9.1	8.6	8.6	2.2	5.3	7.2	5.0	4.0	10.0	8.0	9.0	6	18
Giant Dragon Karate Soft	8.5	8.6	8.3	4.5	4.5	4.8	5.5	6.0	6.0	6.8	8.7	8	18
Giant Dragon Karate Soft Purple Sponge (National)	10.0	9.3	9.0	5.0	5.0	7.0	5.5	5.0	7.5	6.0	9.5	2	5
Giant Dragon Maxspin	8.0	8.0	9.0	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	10.0	5.0	8.0	1	25
Giant Dragon Storm National Team	9.4	9.6	9.3	4.0	5.3	7.0	10.0	6.0	10.0	8.0	9.5	3	60
Giant Dragon Storm Soft	8.5	9.5	9.4	6.0	5.3	4.3	8.0	6.0	8.3	8.0	9.4	3	19
Giant Dragon Submarine	6.4	8.3	9.3	5.6	4.3	4.1	6.7	4.0	9.2	7.7	8.6	19	16
Giant Dragon Superspin	8.8	9.5	7.0	2.0	4.0	5.0	10.0	8.0	10.0	(not rated)	9.5	1	27
Giant Dragon Superspin G2	7.5	5.0	7.5	2.0	(not rated)	(not rated)	(not rated)	(not rated)	5.0	3.0	6.0	2	0
Giant Dragon SuperSpin G3 (H45 Tuned)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Giant Dragon SuperSpin G3 Gold	7.5	8.9	7.8	8.0	6.0	7.0	4.0	6.0	(not rated)	7.0	8.5	1	22
Giant Dragon SuperSpin G3 Hard	9.0	8.9	8.3	4.0	5.0	6.0	8.0	4.7	8.3	5.8	8.6	6	28
Giant Dragon Superspin G3 Platinum	(not rated)	(not rated)	(not rated)	8.0	(not rated)	10.0	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	1	18
Giant Dragon Superspin G3 S2	8.0	9.5	7.8	8.0	5.0	5.0	7.0	5.0	7.5	10.0	8.5	2	18
Giant Dragon SuperSpin G3 Silver	8.3	9.0	8.0	5.0	4.0	0.0	7.0	4.0	5.0	3.0	8.2	1	18
Giant Dragon SuperSpin G3 Soft	8.4	9.3	8.2	7.5	5.6	4.0	7.5	5.6	7.5	6.5	9.0	12	25
Giant Dragon SuperSpin G4 (S30)	8.4	8.5	8.0	2.0	4.0	0.0	7.0	2.0	(not rated)	(not rated)	8.3	1	0
Giant Dragon SuperSpin G4 H45	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Giant Dragon SuperSpin G4 H48	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	20
Giant Dragon SuperSpin G4 M36	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Giant Dragon Superspin G4 M38	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	20
Giant Dragon SuperSpin G4 S32	8.7	8.2	8.5	0.0	2.0	3.0	7.0	2.0	10.0	7.0	8.5	1	20
Giant Dragon Superveloce V12 FX	9.2	9.0	9.0	1.6	3.7	5.1	7.5	4.3	8.0	8.6	9.0	9	15
Giant Dragon Superveloce V12 Sound	9.0	9.2	9.3	0.0	4.0	3.0	7.0	2.0	10.0	7.0	9.2	1	13
Giant Dragon TaiChi Hard	8.5	8.5	8.5	5.0	5.0	7.5	7.0	4.0	7.5	7.0	8.8	2	18
Giant Dragon TaiChi Soft	8.1	8.4	8.3	4.0	4.4	2.6	5.2	4.4	8.3	4.3	8.5	5	18
Giant Dragon TopENERGY Hard	9.4	9.4	8.7	8.7	7.6	8.7	7.0	7.2	7.5	8.0	8.9	6	22
Giant Dragon TopENERGY Soft	7.8	9.4	7.8	5.1	6.8	6.8	7.3	6.2	8.3	5.7	8.4	14	25
Giant Dragon TopENERGY V1	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	15
Giant Dragon TopEnergy V2	7.5	8.7	9.0	5.0	4.0	2.0	8.0	4.7	6.7	5.0	8.3	3	15
GKI Chelonz Hybridz	7.9	7.4	6.9	4.4	4.8	4.3	6.3	6.8	6.3	3.0	8.2	8	36
GKI Euro Chelonz	7.6	6.9	6.7	0.4	5.2	4.8	4.0	3.2	7.0	5.0	6.8	7	30
GKI Euro Jumbo	7.7	7.7	8.2	5.0	4.0	4.3	4.0	5.5	6.3	7.5	8.6	5	27
GKI Euro Spintech	8.0	8.4	8.3	2.5	5.0	4.7	5.2	5.6	8.0	6.5	8.1	7	17
GKI Euro-XX	7.7	7.5	7.5	3.3	4.9	5.7	5.4	4.2	6.1	6.5	8.4	16	16
GKI Hybridz GX	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	40
GKI Hybridz GX 2018	9.0	10.0	9.5	2.0	4.0	5.0	7.0	8.0	10.0	7.0	9.5	1	40
GKI Nano Force	8.0	8.0	8.0	7.5	3.0	8.5	7.0	8.0	7.5	6.5	8.0	2	12
Globe 999	7.9	9.0	8.7	5.9	5.7	6.8	6.4	5.1	7.8	7.4	8.6	33	8
Globe 999 National	7.8	9.3	9.0	6.2	6.2	6.4	8.4	5.3	9.2	8.2	9.2	34	15
Globe 999 On Air Lemon Sponge	8.5	9.8	9.5	8.0	8.0	5.0	10.0	6.0	(not rated)	(not rated)	9.5	1	12
Globe 999T	7.9	8.7	7.9	6.8	6.0	7.3	5.0	4.3	10.0	6.3	8.3	9	10
Globe Awala Tension	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Globe Gold Whirlwind (Japanese Sponge)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	14
Globe Gold Whirlwind (Soft HQ Sponge)	8.0	10.0	9.0	8.0	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	1	14
Globe LiQin Japan Sponge	8.5	8.7	9.0	5.0	4.0	4.0	8.5	6.0	10.0	5.0	8.5	2	0
Globe Magic Wand	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	15
Globe Prize Li Qin (LQ)	8.8	8.0	8.5	2.0	4.0	0.0	7.0	6.0	10.0	7.0	(not rated)	2	14
Globe Taiphoon Gold	7.5	9.0	8.5	6.5	6.0	5.0	7.0	7.0	7.5	6.0	9.0	3	14
Goldway 916 Destroyer	6.5	7.5	9.0	5.0	4.0	5.0	4.0	4.0	0.0	3.0	6.5	1	14
Goldway 968 Stinger	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	14
Guo Qiu Future Fighter	8.2	8.5	7.4	6.6	6.9	8.5	5.5	2.7	8.3	6.3	7.6	8	10
Guo Qiu Gong Fu	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	14
Haifu Blue Whale	9.3	9.1	8.9	5.0	6.7	8.0	8.0	5.3	5.0	8.5	9.3	4	22
Haifu Blue Whale 2 (soft)	8.0	10.0	9.0	7.5	6.0	3.0	4.0	8.0	(not rated)	10.0	(not rated)	2	20
Haifu Blue Whale II (2) (Tuned)	8.5	7.8	8.4	3.7	5.6	6.0	7.5	3.4	5.8	5.7	8.3	10	23
Haifu Blue Whale II (2) (Untuned)	8.2	9.0	8.3	8.0	7.0	7.0	7.0	2.0	10.0	5.0	9.1	3	23
Haifu Blue Whale II (2) National (Tuned)	8.1	8.6	8.0	5.8	8.0	8.5	7.8	4.0	3.8	5.0	8.5	4	40
Haifu Blue Whale II (2) Provincial (Tuned)	9.1	9.2	8.3	6.3	4.8	7.2	6.5	6.0	6.0	6.3	9.0	8	27
Haifu Blue Whale III (3) (Tuned)	7.4	8.9	7.6	6.2	5.3	6.6	7.6	5.8	6.4	5.5	8.8	17	40
Haifu Pirates 07	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Haifu Pirates 08	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Haifu Shark II Soft	9.2	9.0	9.0	2.4	6.0	4.6	8.8	6.4	10.0	6.7	9.1	6	35
Haifu Shark III (Red Sponge)	9.5	9.0	9.2	2.3	3.3	6.3	9.0	2.7	10.0	7.0	9.1	4	60
Haifu Whale II National (Red Sponge)	9.8	9.5	9.3	7.5	8.0	8.5	10.0	8.0	10.0	10.0	9.5	2	0
Haifu Whale III (Purple Sponge) Factory Tuned	9.0	8.9	8.8	9.0	9.0	10.0	5.5	5.0	10.0	5.0	9.3	2	50
Haifu White Shark	8.8	8.0	7.3	2.0	4.0	5.5	4.0	2.7	5.0	5.0	7.4	4	21
Haifu White Shark II (2) (Tuned)	8.7	8.1	8.5	2.2	3.7	2.8	6.8	3.5	7.5	5.5	9.4	13	26
Haifu White Shark II (2) (Untuned)	8.0	8.5	9.0	0.0	2.0	5.0	4.0	2.0	10.0	5.0	(not rated)	1	22
Hallmark Green Power	8.0	8.0	8.0	2.0	4.0	5.0	10.0	4.0	5.0	7.0	8.0	1	0
Hallmark Mirage	7.0	0.0	9.0	0.0	8.0	10.0	4.0	0.0	10.0	10.0	9.0	1	40
Hallmark Podium	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Huaruite Wujilong	8.5	8.0	8.5	2.0	4.0	3.0	7.0	4.0	5.0	7.0	8.8	1	13
Huaruite Wujilong R2	7.9	8.8	8.5	3.5	5.0	7.0	5.5	5.0	7.5	7.5	(not rated)	2	17
Imperial 20 One 11	7.6	7.9	8.7	0.0	4.0	5.0	5.5	3.3	10.0	7.0	8.6	3	20
Imperial 20 One 45	7.5	10.0	10.0	2.0	2.0	3.0	10.0	4.0	10.0	7.0	9.1	1	20
Imperial Caber Tacky Japan Hard	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	15
Imperial China Classic	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	6
Imperial China Classic Orange Sponge	7.5	9.3	9.4	9.0	4.0	6.0	7.0	5.0	10.0	8.5	9.2	2	7
Imperial China Classic Special Sponge	5.0	8.0	9.0	8.0	2.0	0.0	4.0	8.0	10.0	10.0	8.0	1	8
Imperial Crash	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	30
Imperial Cyber Tacky Japan Medium	7.9	9.1	8.9	5.0	6.0	5.0	10.0	6.0	10.0	7.0	9.5	1	15
Imperial Cyber Tacky Japan Soft	7.5	9.1	8.8	5.0	4.0	3.0	10.0	6.0	10.0	7.0	9.4	1	15
Imperial Force	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	30
Imperial Force Speed Tension	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	40
Imperial Super Strike	6.3	9.5	9.3	1.3	4.0	7.3	1.0	2.0	10.0	10.0	9.0	4	30
Imperial Swift	8.3	8.4	9.0	1.0	2.5	4.5	9.0	7.3	10.0	8.5	8.3	4	30
ITC POWERCELL MP	9.5	9.5	8.5	2.0	6.0	7.0	10.0	8.0	10.0	7.0	9.5	1	53
ITC POWERCELL MP 45	9.5	9.5	8.5	2.0	6.0	5.0	10.0	8.0	10.0	7.0	9.5	1	53
ITC POWERCELL RS	9.5	9.7	9.2	2.0	7.0	8.5	10.0	7.0	10.0	7.0	9.6	2	53
ITC POWERCELL RS 45	9.2	9.4	9.1	1.0	5.0	4.0	10.0	7.0	10.0	7.0	9.7	2	53
ITC Powercell Ultra 48	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	57
Japtec All-Around Balance	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	11
Japtec Experience	2.0	2.0	2.0	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	1	0
Japtec Performance	7.5	6.0	8.0	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	1	19
JOOLA 4 You	6.7	7.3	8.9	0.5	3.3	3.4	5.3	5.1	6.9	6.1	8.6	10	20
JOOLA 4-All	6.1	6.2	8.9	0.3	3.7	5.3	4.5	3.3	10.0	6.5	8.6	8	20
JOOLA Air! ROSnet	8.9	8.0	8.1	2.0	2.7	3.1	7.0	4.6	8.8	6.3	8.5	10	25
JOOLA Amy Classic (Anti-spin)	5.5	5.7	5.3	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	2	55
JOOLA Amy Control (Anti-spin)	6.0	0.5	8.0	0.0	8.0	10.0	(not rated)	0.0	(not rated)	10.0	(not rated)	4	55
JOOLA Axxess	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	35
JOOLA Brave	8.2	8.8	8.6	4.9	5.3	4.3	7.5	3.0	7.0	4.8	8.2	7	50
JOOLA Cava	8.8	8.6	7.8	6.5	4.0	5.0	7.0	6.0	10.0	6.0	8.5	2	40
JOOLA Drum	8.8	9.4	8.7	7.6	5.1	9.1	7.9	4.6	7.9	8.0	9.2	7	33
JOOLA Drum CWX	7.5	9.2	9.0	10.0	4.0	5.0	7.0	0.0	(not rated)	7.0	8.5	2	27
JOOLA Echo	7.0	7.0	8.0	2.0	4.0	0.0	4.0	6.0	10.0	10.0	8.0	1	30
JOOLA Energy	7.3	7.6	8.7	3.5	4.0	1.5	4.0	5.0	5.0	7.0	8.0	2	50
