종목	코드	현재가	시가총액	PER	E_PER	PBR	ROE	배당수익률
유안타증권	003470	2680	5,429	7.14		0.44	6.60	
진양제약	007370	6250	679	41.31		1.45	3.84	1.77
신일전자	002700	2320	1,648	29.74		2.41	6.32	0.86
한국프랜지	010100	2790	821	4.71		0.37	5.35	1.86
유니슨	018000	1290	1,226			1.79	-5.71	
까뮤이앤씨	013700	1435	648	4.74		0.86	20.68	2.09
삼천당제약	000250	39800	9,251	107.86		5.69	7.00	0.12
동진쎄미켐	005290	18350	9,409	16.08		2.64	17.78	0.49
코웨이	021240	63400	51,586	15.44	13.00	4.24	31.73	3.43
한국전력	015760	21500	138,343		13.00	0.21	1.57	
농심	004370	325000	19,769	27.84	16.00	0.97	6.10	1.23
SK디스커버리	006120	27900	5,454	2.43		0.34	11.52	2.44
금비	008870	50200	500	12.02		0.39	6.48	3.40
만호제강	001080	14100	602	29.84		0.19	0.46	1.38
대한제당	001790	18700	1,691	12.30		0.37	3.22	3.58
한농화성	011500	4845	751	6.81		0.61	8.58	3.12
한진중공업홀딩스	003480	3450	1,036	3.42		0.27	8.98	
네이처셀	007390	10000	6,150	628.12		7.51	1.44	
청보산업	013720	2225	184	140.62		0.84	1.42	
LS ELECTRIC	010120	42800	13,410	12.91	11.00	0.96	8.43	2.68
진로발효	018120	31450	2,089	16.11		2.66	15.81	4.28
롯데칠성	005300	106000	8,513		26.00	0.74	3.02	2.54
일진홀딩스	015860	4005	1,991	15.82		0.65	3.45	2.48
피제이전자	006140	4600	693	12.83		0.65	4.61	3.03
KCC건설	021320	6280	1,361	4.82		0.36	7.72	2.36
삼익THK	004380	12450	2,583	89.13		1.37	1.74	1.22
오리온홀딩스	001800	14350	9,146	18.91		0.46	2.54	4.45
기아차	000270	30400	126,676	8.78	9.00	0.44	4.71	3.68
TCC스틸	002710	1850	553	10.98		0.45	4.42	1.21
대한항공	003490	19350	18,827		-2.00	1.00	-34.31	
LG상사	001120	14000	5,446	2.68	2.00	0.39	19.74	2.13
한미사이언스	008930	28000	18,582	60.41		2.82	4.73	0.70
세보엠이씨	011560	5080	544			0.34	-5.21	2.90
에이프로젠 KIC	007460	3160	4,936	113.04		1.70	4.70	
고려아연	010130	372500	71,329	11.51	11.00	1.01	9.02	3.70
스페코	013810	3775	555	5.26		1.85	28.18	
애경산업	018250	25550	6,801	16.29	16.00	2.01	11.73	1.75
태경산업	015890	5000	1,467			0.62	8.91	7.37
국동	005320	3530	1,192			1.55	-7.07	
무림SP	001810	1990	439	32.54		0.22	0.66	1.76
한국전자홀딩스	006200	603	283			0.25	-11.06	
대한제분	001130	135500	2,273	13.02		0.29	2.25	1.49
서울식품	004410	174	590			2.40	-7.65	
한국큐빅	021650	2620	437	8.81		0.73	5.99	0.94
대유플러스	000300	664	716	4.38		0.70	16.75	
국제약품	002720	7210	1,367			1.98	-7.35	
동양철관	008970	1095	1,367	31.08		1.67	2.24	
영진약품	003520	5480	9,968	194.64		8.48	4.42	
유양디앤유	011690	1220	714			0.61	-8.52	
영신금속	007530	1540	200	3.46		0.47	14.69	
지엠비코리아	013870	4370	867	31.78		0.38	1.22	0.66
삼성중공업	010140	4340	27,562		-11.00	0.50	-4.90	
삼성에스디에스	018260	186000	143,923	25.40	26.00	2.26	8.33	1.29
모나미	005360	3530	690			0.97	-2.39	1.92
삼화콘덴서	001820	55600	5,873	19.81		3.79	16.28	0.44
대현	016090	1815	810	4.87		0.41	8.65	5.46
제주은행	006220	3190	1,025	3.67		0.21	5.75	3.13
송원산업	004430	14800	3,552	9.59	7.00	0.80	11.19	1.01
세원정공	021820	8090	809	36.12		0.19	-2.02	0.31
국보	001140	2345	920			2.07	-36.39	
노루홀딩스	000320	9710	1,289	15.25		0.28	1.37	4.12
보락	002760	1925	1,168	108.33		2.68	1.48	0.26
한화투자증권	003530	1765	3,862	3.56		0.34	9.36	
KCTC	009070	2520	759	12.59		0.39	3.75	1.78
한신기계	011700	1415	464	28.60		0.56	2.01	1.05
샘표	007540	56400	1,633	12.33		0.77	7.75	0.35
지누스	013890	84700	12,104	15.03	13.00	3.08	22.64	1.47
대한광통신	010170	3950	3,042			1.70	-6.32	
브이티지엠피	018290	10000	3,353	103.96	15.00	5.20	32.97	
현대차	005380	96000	208,754	10.35	10.00	0.37	3.70	4.09
리더스코스메틱	016100	3875	717			2.37	-105.20	
LS	006260	37600	12,381		11.00	0.34	3.44	3.77
이화공영	001840	5250	1,056			2.53	0.63	0.19
대림씨엔에스	004440	5860	756	28.15		0.27	0.97	0.64
대신증권	003540	9850	5,057	9.13		0.34	5.34	10.04
한화손해보험	000370	2415	2,831		10.00	0.20	1.93	
경인전자	009140	16850	269	26.88		0.41	0.45	1.46
유진투자증권	001200	2940	2,838	6.86		0.36	5.36	2.39
